health_status,transportation_mode,extracurricular_activities,class_time,subject_difficulty,previous_attendance,study_hours,sleep_hours,previous_grades,distance,previous_absence_count,attendance_status
Good,Car,Yes,Morning,Hard,0.2514187060988534,0.4493977382205645,0.2882864328466017,0.7520687855758676,0.43455743857111173,0.22075586848801199,Present
Poor,Bus,No,Evening,Medium,0.645454130097223,0.3977563948019427,0.3462379119766771,0.7270964383709295,0.012257718317545145,0.20873353473795211,Present
Poor,Bicycle,No,Morning,Easy,0.7499951721241692,0.32797879789932105,0.39652161721894086,0.5354788738327423,0.10036250926101112,0.28325430965876996,Absent
Fair,Bicycle,Yes,Evening,Medium,0.8882610681359605,0.26549855160693314,0.2664225739553858,0.3737093997294045,0.38561759785261884,0.30299074902716033,Absent
Poor,Walking,Yes,Afternoon,Hard,0.20469733024781736,0.38414623075835436,0.38838709627638895,0.17244191694183128,0.40814732028180467,0.20524856438145975,Absent
Good,Bicycle,No,Evening,Medium,0.6283006998027771,0.27105194127903126,0.32355613106556236,0.6925501979257437,0.23682383805280396,0.14442901977607822,Present
Fair,Walking,Yes,Afternoon,Easy,0.5325645191619454,0.3109431189408986,0.36915799438885055,0.6993852016548002,0.3800704221568486,0.482815552813487,Absent
Fair,Car,No,Evening,Hard,0.566982838155707,0.39177463003285473,0.3112249979962215,0.4078148080403297,0.47579511887377457,0.1540441963497867,Absent
Poor,Bus,No,Afternoon,Hard,0.14922200614082123,0.27144089992439724,0.33711889562552333,0.9909009962070926,0.1638326158750836,0.37077865909809826,Absent
Poor,Bus,Yes,Morning,Hard,0.6301052254761248,0.3229181197271311,0.3927259351190595,0.9861943404604717,0.05245935215754435,0.48509161295643144,Absent
Good,Walking,No,Afternoon,Hard,0.7649782433674793,0.2968974724852693,0.30833052166569236,0.870237921493958,0.438482149538698,0.15421946732350392,Present
Fair,Walking,No,Evening,Hard,0.3292745877471373,0.3280010466778061,0.37465941736036257,0.9890516749175617,0.3825972234748863,0.14377375210861998,Absent
Fair,Bus,Yes,Evening,Hard,0.5360483771266793,0.4385749968181695,0.32979635814392827,0.4136423893145271,0.11082485938958786,0.4765032766863417,Absent
Fair,Walking,No,Morning,Medium,0.32676657957371796,0.5346571662610297,0.3143581763474239,0.888680339206309,0.038522250058964994,0.36756946674558555,Absent
Fair,Bus,No,Evening,Medium,0.7407121808795866,0.3483385801239892,0.2931968173265743,0.5276338316440957,0.7422913233031989,0.17538400220590894,Absent
Poor,Bus,Yes,Afternoon,Hard,0.22478950304583786,0.4497788309417778,0.2985481069398195,0.9908779532699772,0.1527484592103499,0.6116897924947939,Absent
Good,Walking,Yes,Morning,Hard,0.2952250238631002,0.3968481486671896,0.3533845051929443,0.5450480953981844,0.43173011839517483,0.1979279373512388,Present
Fair,Bicycle,Yes,Afternoon,Hard,0.4529237698821357,0.4416801574483114,0.2267348612479695,0.5492704081337845,0.4476357267686467,0.37505830882809177,Absent
Good,Walking,No,Evening,Easy,0.43938351731332187,0.4957304822593531,0.34776690977950686,0.32318334936456755,0.5318020755946962,0.3680660302998017,Present
Good,Walking,Yes,Afternoon,Easy,0.2819824642727141,0.3502645628585907,0.2259629737304511,0.8166608835079776,0.24921711777556307,0.08606044447075165,Present
Good,Walking,No,Afternoon,Hard,0.4599408339844254,0.5448820108337715,0.373171864009494,0.8297612843758305,0.3753986468428886,0.3444126876124437,Present
Good,Car,Yes,Afternoon,Medium,0.47341153040242206,0.511889459793067,0.3103281051862725,0.9978352934590285,0.21415499937927418,0.5765544944202913,Present
Good,Walking,Yes,Evening,Hard,0.6550724704123577,0.3140386486121546,0.3686423919271862,0.2677066163275533,0.5927073491061984,0.3353599239276239,Present
Fair,Car,No,Morning,Hard,0.11522725838500802,0.2920467147833961,0.40278002396286494,0.7699963420221312,0.016702715539628224,0.44459640035179626,Absent
Good,Walking,No,Evening,Easy,0.8930283852273576,0.36313806342143007,0.33882420918314765,0.7439146963747987,0.8451513838846869,0.04940977926581521,Present
Fair,Car,Yes,Morning,Easy,0.5215808925235305,0.34563931039069473,0.3417129632228383,0.8006744971783225,0.8962707126169592,0.38949131909404056,Absent
Poor,Bus,Yes,Morning,Easy,0.6096644798565186,0.34288160259158135,0.29944114239903363,0.5240378014235768,0.0299614114135986,0.10037906900290737,Present
Good,Walking,Yes,Morning,Medium,0.29537369464826,0.29180856312868675,0.3187096625461979,0.4255992179065205,0.6661396232486103,0.053407616445443236,Present
Good,Car,Yes,Morning,Easy,0.3057073882339377,0.49970593564536414,0.3815826887287588,0.6182851792991428,0.14856121258573496,0.0007371425003868223,Present
Poor,Car,Yes,Evening,Medium,0.20670740350768527,0.4109082970349832,0.3164866197818056,0.7344829245283364,0.8065562060081841,0.30527823981339935,Absent
Poor,Bus,No,Evening,Hard,0.3708414730422278,0.43314708963308957,0.35000000028067835,0.7281663635640656,0.3509469218304212,0.09351868940433392,Absent
Poor,Walking,No,Afternoon,Easy,0.4399445010329564,0.379979874569963,0.333693171720544,0.5493389536161037,0.5417474342472806,0.10153764078667421,Absent
Fair,Walking,No,Evening,Hard,0.16509537864118887,0.293396782837232,0.40986986466108116,0.6701058678280039,0.07087827707541759,0.13759850648633712,Absent
